Owner_ID,Channel_ID,Channel_Type,Video-IDs,Date_Created
U-22,CH-52,Music-Videos-Channel,"V-82, V-172, V-236",2014/8/29
U-23,CH-53,Music-Videos-Channel,"V-83, V-173, V-237",2015/2/23
U-24,CH-54,Music-Videos-Channel,"V-84, V-174, V-238",2013/2/3
U-25,CH-55,Music-Videos-Channel,"V-85, V-175, V-239",2013/1/30
U-26,CH-56,Music-Videos-Channel,"V-86, V-176, V-240",2014/12/16
U-27,CH-57,Music-Videos-Channel,"V-87, V-177, V-241",2013/7/26
U-28,CH-58,Music-Videos-Channel,"V-88, V-178, V-242",2014/9/29
U-29,CH-59,Music-Videos-Channel,"V-89, V-179, V-243",2013/6/3
U-30,CH-60,Music-Videos-Channel,"V-90, V-180, V-244",2014/3/6
U-1,CH-61,Documentary-Channel,"V-31, V-121, V-277",2013/12/2
U-2,CH-62,Documentary-Channel,"V-32, V-122, V-278",2015/2/6
U-3,CH-63,Documentary-Channel," V-33, V-123, V-279",2014/11/25
U-4,CH-64,Documentary-Channel,"V-34, V-124, V-280",2014/12/21
U-5,CH-65,Documentary-Channel,"V-35, V-125, V-281",2013/11/10
U-6,CH-66,Documentary-Channel,"V-36, V-126, V-282",2014/10/7
U-7,CH-67,Documentary-Channel,"V-37, V-127, V-283",2014/12/8
U-8,CH-68,Documentary-Channel,"V-38, V-128, V-284",2013/6/26
U-9,CH-69,Documentary-Channel,"V-39, V-129, V-285",2013/7/10
U-10,CH-70,Documentary-Channel,"V-40, V-130, V-286",2013/5/31
U-11,CH-71,Documentary-Channel,"V-41, V-131, V-287",2012/11/10
U-12,CH-72,Documentary-Channel,"V-42, V-132, V-288",2013/7/23
U-13,CH-73,Documentary-Channel,"V-43, V-133, V-289",2013/7/10
U-14,CH-74,Documentary-Channel,"V-44, V-134, V-290",2014/12/11
U-15,CH-75,Documentary-Channel,"V-45, V-135, V-291",2013/11/27
U-16,CH-76,Documentary-Channel,"V-46, V-136, V-292",2014/2/6
U-17,CH-77,Documentary-Channel,"V-47, V-137",2013/11/12
U-18,CH-78,Documentary-Channel,"V-48, V-138",2012/12/14
U-19,CH-79,Documentary-Channel,"V-49, V-139",2013/2/19
U-20,CH-80,Documentary-Channel,"V-50, V-140",2013/8/29
U-21,CH-81,Documentary-Channel,"V-51, V-141",2013/6/27
U-22,CH-82,Documentary-Channel,"V-52, V-142",2014/1/27
U-23,CH-83,Documentary-Channel,"V-53, V-143",2013/4/24
U-24,CH-84,Documentary-Channel,"V-54, V-144",2012/11/10
U-25,CH-85,Documentary-Channel,"V-55, V-145",2013/9/24
U-26,CH-86,Documentary-Channel,"V-56, V-146",2013/10/24
U-27,CH-87,Documentary-Channel,"V-57, V-147",2014/5/7
U-28,CH-88,Documentary-Channel,"V-58, V-148",2013/1/27
U-29,CH-89,Documentary-Channel,"V-59, V-149",2014/7/23
U-30,CH-90,Documentary-Channel,"V-60, V-150",2014/10/21
U-1,CH-91,Personal-Family-Channel,"V-1, V-91, V-180, V-213",2014/10/2
U-2,CH-92,Personal-Family-Channel,"V-2, V-92, V-181, V-214",2014/9/28
U-3,CH-93,Personal-Family-Channel,"V-3, V-93, V-182, V-215",2014/4/3
U-4,CH-94,Personal-Family-Channel,"V-4, V-94, V-183, V-216",2013/1/7
U-5,CH-95,Personal-Family-Channel,"V-5, V-95, V-184, V-217",2015/2/21
U-6,CH-96,Personal-Family-Channel,"V-6, V-96, V-185, V-218",2013/7/16
U-7,CH-97,Personal-Family-Channel,"V-7, V-97, V-186, V-219",2013/9/1
U-8,CH-98,Personal-Family-Channel,"V-8, V-98, V-187, V-220",2015/1/2
U-9,CH-99,Personal-Family-Channel,"V-9, V-99, V-188, V-221",2013/3/1
U-10,CH-100,Personal-Family-Channel,"V-10, V-100, V-189, V-222",2013/9/12
U-11,CH-101,Personal-Family-Channel,"V-11, V-101, V-190, V-223",2015/1/10
U-12,CH-102,Personal-Family-Channel,"V-12, V-102, V-191, V-224",2013/5/22
U-13,CH-103,Personal-Family-Channel,"V-13, V-103, V-192, V-225",2014/11/23
U-14,CH-104,Personal-Family-Channel,"V-14, V-104, V-193, V-226",2013/7/26
U-15,CH-105,Personal-Family-Channel,"V-15, V-105, V-194, V-227, V-213",2012/12/8
U-16,CH-106,Personal-Family-Channel,"V-16, V-106, V-195, V-228, V-214",2013/6/23
U-17,CH-107,Personal-Family-Channel,"V-17, V-107, V-196, V-215",2014/6/13
U-18,CH-108,Personal-Family-Channel,"V-18, V-108, V-216",2014/9/28
U-19,CH-109,Personal-Family-Channel,"V-19, V-109, V-217",2013/10/8
U-20,CH-110,Personal-Family-Channel,"V-20, V-110, V-218",2012/11/20
U-21,CH-111,Personal-Family-Channel,"V-21, V-111, V-219",2014/12/22
U-22,CH-112,Personal-Family-Channel,"V-22, V-112, V-220",2013/12/2
U-23,CH-113,Personal-Family-Channel,"V-23, V-113, V-221",2013/8/5
U-24,CH-114,Personal-Family-Channel,"V-24, V-114, V-222",2015/1/21
U-25,CH-115,Personal-Family-Channel,"V-25, V-115, V-223",2013/1/4
U-26,CH-116,Personal-Family-Channel,"V-26, V-116, V-224",2013/6/22
U-27,CH-117,Personal-Family-Channel,"V-27, V-117, V-225",2014/5/5
U-28,CH-118,Personal-Family-Channel,"V-28, V-118, V-226",2012/11/22
U-29,CH-119,Personal-Family-Channel,"V-29, V-119, V-227",2014/6/9
U-30,CH-120,Personal-Family-Channel,"V-30, V-120, V-228",2013/9/29
U-1,CH-121,Favorite-Channel,"V-65, V-155, V-201, V-265",2013/1/31
U-2,CH-122,Favorite-Channel,"V-79, V-169, V-233",2014/4/12
U-3,CH-123,Favorite-Channel,"V-80, V-170, V-234",2014/2/21
U-4,CH-124,Favorite-Channel,"V-87, V-177, V-241",2014/11/9
U-5,CH-125,Favorite-Channel,"V-81, V-171, V-235",2013/4/20
U-6,CH-126,Favorite-Channel,"V-75, V-165, V-211, V-229, V-275",2013/9/21
U-7,CH-127,Favorite-Channel,"V-64, V-154, V-200, V-264",2013/10/21
U-8,CH-128,Favorite-Channel,"V-76, V-166, V-212, V-230, V-276",2014/9/3
U-9,CH-129,Favorite-Channel,"V-88, V-178, V-242",2014/2/12
U-10,CH-130,Favorite-Channel,"V-66, V-156, V-202, V-266",2014/10/29
U-11,CH-131,Favorite-Channel,"V-89, V-179, V-243",2013/7/31
U-12,CH-132,Favorite-Channel,"V-70, V-160, V-206, V-270",2015/2/13
U-13,CH-133,Favorite-Channel,"V-78, V-168, V-232",2014/11/9
U-14,CH-134,Favorite-Channel,"V-82, V-172, V-236",2013/10/29
U-15,CH-135,Favorite-Channel,"V-63, V-153, V-199, V-263",2015/1/29
U-16,CH-136,Favorite-Channel,"V-86, V-176, V-240",2012/12/1
U-17,CH-137,Favorite-Channel,"V-90, V-180, V-244",2014/11/29
U-18,CH-138,Favorite-Channel,"V-61, V-151, V-197, V-261",2013/6/24
U-19,CH-139,Favorite-Channel,"V-85, V-175, V-239",2014/8/3
U-20,CH-140,Favorite-Channel,"V-67, V-157, V-203, V-267",2014/8/14
U-21,CH-141,Favorite-Channel,"V-68, V-158, V-204, V-268",2014/4/13
U-22,CH-142,Favorite-Channel,"V-83, V-173, V-237",2014/6/9
U-23,CH-143,Favorite-Channel,"V-77, V-167, V-231",2013/3/3
U-24,CH-144,Favorite-Channel,"V-71, V-161, V-207, V-271",2013/8/30
U-25,CH-145,Favorite-Channel,"V-73, V-163, V-209, V-273",2013/9/3
U-26,CH-146,Favorite-Channel,"V-69, V-159, V-205, V-269",2014/9/10
U-27,CH-147,Favorite-Channel,"V-74, V-164, V-210, V-274",2014/7/17
U-28,CH-148,Favorite-Channel,"V-62, V-152, V-198, V-262",2013/5/10
U-29,CH-149,Favorite-Channel,"V-72, V-162, V-208, V-272",2012/12/13
U-30,CH-150,Favorite-Channel,"V-84, V-174, V-238",2013/5/29
